source	section	disposition	target_or_reason
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	9. Phased implementation	migrated current status	knowledge/status/implementation.md; knowledge/status/known-limitations.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	10. Testing	migrated summary	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	11. Determinism, security, performance	migrated summary	knowledge/architecture/rocs-documentation-compiler.md; knowledge/decisions/rust-catalog-rocci-shell.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	12. Compatibility	migrated summary	knowledge/architecture/rocs-documentation-compiler.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	13. Risks	retained for priority 2	knowledge/plans/rocs.md
ROCDOWN_DOCUMENTATION_GENERATOR_IMPLEMENTATION_PLAN.md	14. Stable release definition of done	retained for priority 2	knowledge/plans/rocs.md
ROCDOWN_THEMING_REPORT.md	Executive summary	migrated current boundary	knowledge/architecture/theming.md
ROCDOWN_THEMING_REPORT.md	1. Theme terminology and the central compatibility rule	migrated summary	knowledge/architecture/theming.md
ROCDOWN_THEMING_REPORT.md	2. What popular Markdown presentation environments do	retained for priority 2	knowledge/research/theme-ecosystems.md
ROCDOWN_THEMING_REPORT.md	3. What static-site generators do	retained for priority 2	knowledge/research/theme-ecosystems.md
ROCDOWN_THEMING_REPORT.md	4. Current Rocdown theming behavior	migrated current subset	knowledge/architecture/theming.md
ROCDOWN_THEMING_REPORT.md	5. Recommended Rocdown theme model	migrated approved subset	knowledge/architecture/theming.md
ROCDOWN_THEMING_REPORT.md	6. External theme adapters	retained for priority 2	knowledge/research/theme-ecosystems.md
ROCDOWN_THEMING_REPORT.md	7. Page and SSG artifact architecture	migrated current subset	knowledge/architecture/rocs-documentation-compiler.md; knowledge/architecture/theming.md
ROCDOWN_THEMING_REPORT.md	8. Best practices Rocdown should enforce or encourage	migrated summary	knowledge/architecture/theming.md
ROCDOWN_THEMING_REPORT.md	9. Proposed implementation plan	not migrated	Superseded in part by current code and Phase 4 of OKF_PLAN.md.
ROCDOWN_THEMING_REPORT.md	10. Test strategy	retained for phase 4	DTCG and visual validation work has not started.
ROCDOWN_THEMING_REPORT.md	11. Concrete decisions recommended now	retained for phase 3	Unapproved theme decisions require atomic review.
ROCDOWN_THEMING_REPORT.md	12. Risks and open design questions	retained for phase 3	Open questions must not be presented as current contract.
ROCDOWN_THEMING_REPORT.md	Conclusion	migrated current boundary	knowledge/architecture/theming.md
ROCDOWN_THEMING_REPORT.md	Primary references	not migrated	Bibliography remains attached to the retained report.
ROC_TEMPLATE.md	Alternative: JSX-style HTML expressions in ordinary Roc > Surface syntax	not migrated	Rejected-alternative detail remains in the source report.
ROC_TEMPLATE.md	Alternative: JSX-style HTML expressions in ordinary Roc > Normal Roc flow	not migrated	Rejected-alternative detail remains in the source report.
ROC_TEMPLATE.md	Alternative: JSX-style HTML expressions in ordinary Roc > Fragments and collections	not migrated	Rejected-alternative detail remains in the source report.
ROC_TEMPLATE.md	Alternative: JSX-style HTML expressions in ordinary Roc > Function-call lowering	not migrated	Rejected-alternative detail remains in the source report.
ROC_TEMPLATE.md	Alternative: JSX-style HTML expressions in ordinary Roc > Component-name resolution	not migrated	Rejected-alternative detail remains in the source report.
ROC_TEMPLATE.md	Alternative: JSX-style HTML expressions in ordinary Roc > Three parser strategies	not migrated	Rejected-alternative detail remains in the source report.
ROC_TEMPLATE.md	Alternative: JSX-style HTML expressions in ordinary Roc > Three parser strategies > Strategy A: full Roc+JSX grammar	not migrated	Rejected-alternative detail remains in the source report.
ROC_TEMPLATE.md	Alternative: JSX-style HTML expressions in ordinary Roc > Three parser strategies > Strategy B: explicit `html { ... }` expression islands	not migrated	Rejected-alternative detail remains in the source report.
ROC_TEMPLATE.md	Alternative: JSX-style HTML expressions in ordinary Roc > Three parser strategies > Strategy C: root-only implicit markup	not migrated	Rejected-alternative detail remains in the source report.
ROC_TEMPLATE.md	Alternative: JSX-style HTML expressions in ordinary Roc > Ambiguities and recovery	not migrated	Rejected-alternative detail remains in the source report.
ROC_TEMPLATE.md	Alternative: JSX-style HTML expressions in ordinary Roc > Effect on the `rocci-template` package	not migrated	Rejected-alternative detail remains in the source report.
ROC_TEMPLATE.md	Alternative: JSX-style HTML expressions in ordinary Roc > Comparison with the explicit `component` form	not migrated	Rejected-alternative detail remains in the source report.
ROC_TEMPLATE.md	Alternative: JSX-style HTML expressions in ordinary Roc > Assessment of the JSX direction	not migrated	Rejected-alternative detail remains in the source report.
ROC_TEMPLATE.md	Alternative: tagged HTML template literals > Why Roc compile-time evaluation is not sufficient by itself	not migrated	Rejected-alternative detail remains in the source report.
ROC_TEMPLATE.md	Alternative: tagged HTML template literals > Feasible implementation paths	not migrated	Rejected-alternative detail remains in the source report.
ROC_TEMPLATE.md	Alternative: tagged HTML template literals > Could native Roc tagged templates be parsed soundly?	not migrated	Rejected-alternative detail remains in the source report.
ROC_TEMPLATE.md	Alternative: tagged HTML template literals > Assessment	not migrated	Rejected-alternative detail remains in the source report.
ROC_TEMPLATE.md	Recommended: explicit components with a bounded template grammar > Is it a subset of Roc?	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Recommended: explicit components with a bounded template grammar > Why explicit directive markers	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Recommended: explicit components with a bounded template grammar > Proposed grammar	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Recommended: explicit components with a bounded template grammar > Conditional rendering	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Recommended: explicit components with a bounded template grammar > Iteration	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Recommended: explicit components with a bounded template grammar > Pattern matching	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Recommended: explicit components with a bounded template grammar > Local bindings	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Recommended: explicit components with a bounded template grammar > Roc expressions, but no markup inside them	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Recommended: explicit components with a bounded template grammar > How an unbraced directive expression ends	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Recommended: explicit components with a bounded template grammar > Downsides of omitting expression braces	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Recommended: explicit components with a bounded template grammar > What the template subset should include	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Recommended: explicit components with a bounded template grammar > Block values and whitespace	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Recommended: explicit components with a bounded template grammar > Parser feasibility	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Recommended: explicit components with a bounded template grammar > Parser recovery	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Recommended: explicit components with a bounded template grammar > Hygiene and semantic soundness	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Recommended: explicit components with a bounded template grammar > Feasibility conclusion	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Separate template syntax from the component flow model > Self-contained does not mean framework-owned	migrated	knowledge/decisions/pure-render-components.md; knowledge/decisions/server-owned-state.md
ROC_TEMPLATE.md	Separate template syntax from the component flow model > Architecture-neutral render layer	migrated	knowledge/decisions/pure-render-components.md; knowledge/decisions/server-owned-state.md
ROC_TEMPLATE.md	Separate template syntax from the component flow model > Option A: explicit request handlers in one file	migrated	knowledge/decisions/pure-render-components.md; knowledge/decisions/server-owned-state.md
ROC_TEMPLATE.md	Separate template syntax from the component flow model > Option B: Elm-style Model–View–Update in one file	migrated	knowledge/decisions/pure-render-components.md; knowledge/decisions/server-owned-state.md
ROC_TEMPLATE.md	Separate template syntax from the component flow model > Option C: pure reducer with explicit effects	migrated	knowledge/decisions/pure-render-components.md; knowledge/decisions/server-owned-state.md
ROC_TEMPLATE.md	Separate template syntax from the component flow model > Option D: parent-controlled or state-hoisted component	migrated	knowledge/decisions/pure-render-components.md; knowledge/decisions/server-owned-state.md
ROC_TEMPLATE.md	Separate template syntax from the component flow model > What must remain outside template lowering	migrated	knowledge/decisions/pure-render-components.md; knowledge/decisions/server-owned-state.md
ROC_TEMPLATE.md	Separate template syntax from the component flow model > Architecture focus for the first POC	migrated	knowledge/decisions/pure-render-components.md; knowledge/decisions/server-owned-state.md
ROC_TEMPLATE.md	Nested content and slots > The problem with a magic `children` field	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Nested content and slots > Design requirements	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Nested content and slots > Alternative 1: reserved `children` record field	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Nested content and slots > Alternative 2: explicit body parameter	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Nested content and slots > Alternative 3: named `Html` props	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Nested content and slots > Alternative 4: explicit slot-record parameter	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Nested content and slots > Alternative 5: outlet elements inside the declaration	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Nested content and slots > Alternative 6: render-function props	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Nested content and slots > Alternative 7: compound subcomponents	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Nested content and slots > Recommended layered model	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Styles > Design goals	migrated summary	knowledge/architecture/theming.md
ROC_TEMPLATE.md	Styles > Alternative 1: one module-level global block	migrated summary	knowledge/architecture/theming.md
ROC_TEMPLATE.md	Styles > Alternative 2: CSS Modules as typed Roc records	migrated summary	knowledge/architecture/theming.md
ROC_TEMPLATE.md	Styles > Alternative 3: automatically scoped component styles	migrated summary	knowledge/architecture/theming.md
ROC_TEMPLATE.md	Styles > Alternative 4: CSS nested inside a component declaration	migrated summary	knowledge/architecture/theming.md
ROC_TEMPLATE.md	Styles > Alternative 5: inline style attributes and dynamic values	migrated summary	knowledge/architecture/theming.md
ROC_TEMPLATE.md	Styles > Alternative 6: external CSS and utility classes	migrated summary	knowledge/architecture/theming.md
ROC_TEMPLATE.md	Styles > Extraction and delivery contract	migrated summary	knowledge/architecture/theming.md
ROC_TEMPLATE.md	Styles > Recommendation and POC scope	migrated summary	knowledge/architecture/theming.md
ROC_TEMPLATE.md	Dedicated implementation package > Responsibilities of `rocci-template`	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Dedicated implementation package > Explicit non-responsibilities	retained for priority 2	knowledge/architecture/template-language.md
ROC_TEMPLATE.md	Dedicated implementation package > Proposed public API shape	retained for priority 2	knowledge/architecture/template-language.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	1. What exists today > 1.1 Rocci's current architecture	migrated summary	knowledge/architecture/system-overview.md; knowledge/status/implementation.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	1. What exists today > 1.2 Roc's relevant capabilities and constraints	migrated summary	knowledge/architecture/system-overview.md; knowledge/status/implementation.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	1. What exists today > 1.3 Datastar's relevant capabilities	migrated summary	knowledge/architecture/system-overview.md; knowledge/status/implementation.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	1. What exists today > 1.4 The useful lesson from Vue	migrated summary	knowledge/architecture/system-overview.md; knowledge/status/implementation.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	2. Proposed programming model > 2.1 What a self-contained feature means	migrated current boundary	knowledge/decisions/pure-render-components.md; knowledge/decisions/server-owned-state.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	2. Proposed programming model > 2.2 Template language	migrated current boundary	knowledge/decisions/pure-render-components.md; knowledge/decisions/server-owned-state.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	2. Proposed programming model > 2.3 Separate the render component from the application architecture	migrated current boundary	knowledge/decisions/pure-render-components.md; knowledge/decisions/server-owned-state.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	2. Proposed programming model > 2.4 Component/application model alternatives	migrated current boundary	knowledge/decisions/pure-render-components.md; knowledge/decisions/server-owned-state.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	2. Proposed programming model > 2.5 Architecture recommendation for v1	migrated current boundary	knowledge/decisions/pure-render-components.md; knowledge/decisions/server-owned-state.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	2. Proposed programming model > 2.6 A request-driven MVU option	migrated current boundary	knowledge/decisions/pure-render-components.md; knowledge/decisions/server-owned-state.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	3. Compilation architecture > 3.1 Compiler stages	migrated summary	knowledge/decisions/pure-render-components.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	3. Compilation architecture > 3.2 Generated code and source maps	migrated summary	knowledge/decisions/pure-render-components.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	3. Compilation architecture > 3.3 Build commands	migrated summary	knowledge/decisions/pure-render-components.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	4. Backend and platform integration > 4.1 Prototype versus long-term host	migrated summary	knowledge/decisions/server-owned-state.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	4. Backend and platform integration > 4.2 Required Rocci lifecycle contract	migrated summary	knowledge/decisions/server-owned-state.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	4. Backend and platform integration > 4.3 State and concurrency	migrated summary	knowledge/decisions/server-owned-state.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	4. Backend and platform integration > 4.4 How a component is processed on the server	migrated summary	knowledge/decisions/server-owned-state.md
ROC_DATASTAR_COMPONENT_FILETYPE_REPORT.md	4. Backend and platform integration > 4.5 Recommended update granularity: fat morph by default	migrated summary	knowledge/decisions/server-owned-state.md
